Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Mikal Bridges,28,NYK,SF,82,82,3036,9.7,19.3,.500,2.7,7.6,.354,7.0,11.8,.594,.570,1.6,1.9,.814,1.2,3.1,4.2,5.0,1.2,0.7,2.2,2.1,23.6,117,118,,bridgmi01
2,Josh Hart,29,NYK,SG,77,77,2897,6.9,13.2,.525,1.4,4.3,.333,5.5,8.9,.618,.579,2.7,3.5,.776,2.8,9.9,12.6,7.8,2.0,0.5,2.7,3.4,18.0,125,112,,hartjo01
3,Anthony Edwards,23,MIN,SG,79,79,2871,12.4,27.7,.447,5.5,13.9,.395,6.9,13.8,.501,.547,7.1,8.5,.837,1.0,6.7,7.7,6.2,1.6,0.9,4.3,2.6,37.4,115,112,MVP-7CPOY-3ASNBA2,edwaran01
4,Devin Booker,28,PHO,SG,75,75,2795,11.6,25.1,.461,3.2,9.7,.332,8.3,15.4,.542,.525,7.6,8.5,.894,1.3,4.1,5.4,9.4,1.2,0.3,3.9,3.5,34.0,119,123,,bookede01
5,James Harden,35,LAC,PG,79,79,2789,9.4,22.9,.410,4.1,11.8,.352,5.2,11.1,.472,.501,8.9,10.2,.874,1.0,7.1,8.1,12.1,2.1,1.0,6.0,2.9,31.8,114,110,MVP-10ASNBA3,hardeja01
6,DeMar DeRozan,35,SAC,SF,77,77,2768,11.0,23.1,.477,1.5,4.5,.328,9.5,18.6,.513,.509,6.7,7.8,.857,0.9,4.4,5.3,6.0,1.1,0.6,1.9,2.7,30.2,120,119,,derozde01
7,Trae Young,26,ATL,PG,76,76,2739,9.7,23.5,.411,3.7,11.0,.340,5.9,12.5,.474,.491,8.4,9.6,.875,0.6,3.4,4.0,15.0,1.6,0.2,6.1,2.5,31.4,114,119,CPOY-4AS,youngtr01
8,Tyler Herro,25,MIA,SG,77,77,2725,11.9,25.2,.472,4.6,12.3,.375,7.3,13.0,.565,.563,5.3,6.0,.878,0.6,6.7,7.3,7.8,1.3,0.3,3.6,1.6,33.7,117,115,AS,herroty01
9,OG Anunoby,27,NYK,PF,74,74,2706,9.0,18.8,.476,3.1,8.4,.372,5.8,10.4,.561,.559,3.4,4.1,.810,1.8,4.8,6.6,3.0,2.0,1.2,1.9,3.2,24.4,118,114,,anunoog01
10,Jalen Green,22,HOU,SG,82,82,2697,11.0,25.9,.423,4.2,11.9,.354,6.8,14.0,.482,.505,4.9,6.1,.813,0.8,6.0,6.8,5.1,1.3,0.5,3.7,2.3,31.1,110,113,,greenja05
